"place_id","name","formatted_address","geometry.location.lat","geometry.location.lng"
"ChIJnexRfORnbIcRf8Xo0Zc7n7s","Ben & Jerrys","8700 Peña Blvd, Denver, CO 80249, USA","39.8541904","-104.67362"
"ChIJIW0NRUvY54kRAw6HWkoJTIg","Ben & Jerry’s","159 Temple St, New Haven, CT 06510, USA","41.3060517","-72.9272094"
"ChIJ1w6DQo9R5okRB72SjjBIF-8","Ben & Jerry’s","41 Hebron Ave, Glastonbury, CT 06033, USA","41.7131244","-72.6078972"
"ChIJeRUlze2s54kRLVH4PtZLx4w","Ben & Jerry's","5 1/2 S Main St, West Hartford, CT 06107, USA","41.761593","-72.7424487"
"ChIJlygS3FQi5okR5f7QUDik47Q","Ben & Jerry’s","19 Main St, Old Saybrook, CT 06475, USA","41.2963415","-72.37723369999999"
"ChIJ-RYn6rdX5okRxFK9EkPxq0A","Ben & Jerry's","301 Evergreen Way, South Windsor, CT 06074, USA","41.812276","-72.55660689999999"
"ChIJNe_8fqtz5okR71xhkUogDJw","Ben & Jerry's","1 Mohegan Sun Blvd #130, Montville, CT 06382, USA","41.4918536","-72.08887610000001"
"ChIJvcEQ672o54kRRNTwsobKKnE","Ben & Jerry's","110 Albany Turnpike, Canton, CT 06019, USA","41.822491","-72.8823068"
"ChIJn48kRpWo54kROtydGxS7DSY","Ben & Jerry's Catering CT","12 Cheryl Dr #4, Canton, CT 06019, USA","41.8238581","-72.8775307"
"ChIJ813NRIV15okRQyMLY9IPmsA","Ben & Jerry's","350 Trolley Line Blvd, Mashantucket, CT 06338, USA","41.4753161","-71.9628702"
"ChIJBUaGos6OsUcRuj9Fg8Vrw10","Ben & Jerrys","Hamburger Str. 8, 22083 Hamburg, Germany","53.5709424","10.0276587"
"ChIJz7cVGaklv0cR-faI-5PpyN8","Ben & Jerry's Scoop Shop / Petinos Bistro","Gürzenichstraße 24a, 50667 Köln, Germany","50.9360911","6.958768999999999"
"ChIJJUNzG4YzxEcRkSlHvG-RSVE","Ben & Jerry’s","Witte de Withstraat 39 Unit A, 3012 BM Rotterdam, Netherlands","51.9158432","4.477654999999999"
